start	end	text
316150	325623	So 110 vouchers have been committed to this site, and that will allow individuals that are extremely low income to be able to live here.
327586	335297	Across the city, we have about 38 projects that will come online in 2025, about 2,000 units.
335818	339323	And this is how we will continue to end homelessness in our city.
340028	341970	Well, you know, in Council District, we're very excited.
341990	344572	We are confronting the housing crisis head on.
345053	350978	We're building as much or more housing than anywhere else, but we're also trying to do it in a way that makes our neighborhoods even more livable than they are.
351058	366593	So, traffic and safety improvements, making sure we do things like bring in new grocery stores, and many, many other amenities for the neighborhood that makes this a whole place where we can all, one, first and foremost live indoors, but secondly, have a good quality of life.
366893	368435	The opportunities are limitless.
369195	372519	Any obstacle that's in front of me, I plan to face it head on.
379005	381948	Delivering hope as well as homes in South LA.
383170	387034	Learning more even before starting school with the Los Angeles Public Library.
387554	389016	The library has thought of everything.
389336	395382	Their programs are for everyone, and that means all Los Angeles families and children, including preschoolers.
399530	401354	at the Los Angeles Public Library.
401675	416948	We have resources for, we like to say birth through infinity, but in terms of back to school specifically, we have a program for pre-kindergarten little ones called Get Ready for Kindergarten.
417299	426712	We also have story times to help support early literacy across our 72 branch locations as well as at our central library.
427714	432040	Each one is different depending on the children's librarian who's hosting it.
432100	433422	Sometimes there's a song.
434764	439290	If you're wearing green today, please stand up.
440992	444638	There's definitely reading of picture books and usually there's a theme.
444698	459540	Maybe it's numbers, maybe it's letters, maybe it's colors to help little ones just get used to talking, reading, singing, playing, all of those early literacy skills that will help them with reading in the future.
462068	465374	One of our mottos is the library welcomes everyone.
465774	473607	We really encourage all families, all students of any background to come to the library to take advantage of our resources.
474128	476672	They are by the city, for the city.
477053	477474	Why not?
477494	479417	Because it's made for everyone.
480098	486709	So we have both in-person and online programming too, depending on how people prefer
486689	488435	to access our resources.
488957	494055	That's really important to us too, that it's not only in person, it's not only online.
494356	499112	We're always looking to make our resources more available to more people.
499953	509191	The best place to go for more information is your local library, but also online, our website is lapl.org.
509211	518248	And for littler ones, the website that has the children's resources is lapl.org slash kids path.
521907	524675	There's a new City of LA film industry liaison.
525216	527242	September is National Preparedness Month.
527623	531855	And the city attorney settles short-term rental and party house lawsuits.
532376	534482	These stories up next on City Beat.
540942	550616	Mayor Karen Bass has announced her appointment of Steve Kang, president of LA City's Board of Public Works as the liaison to the film and television industry.
551597	560851	According to Bass, Kang's deep knowledge of city's infrastructure and permitting will help improve local film processes and experiences for the entertainment industry.
561472	569363	Kang is the official who oversees the city's contract with Film LA, balancing film industry needs with community impact.
569343	575406	Kang said filming is vital to the city's economy and city departments must prioritize their success.
576290	580787	For more information, visit mayor.lacity.gov slash press.
583400	592199	September is National Preparedness Month, and LA City's Emergency Management Department has advice to follow if you haven't yet made an emergency plan.
592740	602742	According to the department, steps include making a family emergency plan, building a kit, preparing for disasters, and teaching youth about preparedness.
602722	612180	Sign up for Notify LA to get city alerts or Ready LA County for emergency notifications across the greater Los Angeles area.
612881	619193	LA City Emergency Management Department has disaster and emergency preparedness resources available online.
619734	624122	For more information, visit emergency.lacity.gov.
626549	636621	LA city attorney, Heidi Feldstein Soto announced her office has settled lawsuits involving violations of the city's short-term rental and party house ordinances.
637342	647474	Since late 2020, illegal short-term rentals were facilitated at one complex for over 3,000 nights, resulting in increased nuisance activity and complaints from neighbors.
647994	654362	This housing falls under the LA rent stabilization ordinance, which bars it from the city's home sharing ordinance.
654342	662997	As part of the settlement, the litigants are to pay civil penalties and are prohibited from violating the home-sharing ordinance at any properties they manage or own.
663037	669128	For more information, click the news tab at cityattorney.lacity.gov.
676381	680028	The Department of Cultural Affairs runs art centers throughout Los Angeles.
680489	681671	But wait, there's more.
682192	690728	They also support three multidisciplinary artists who connect even more directly with the communities, bringing ideas to life through art.
697846	701270	What is the outreach and engagement for DCA?
701811	706857	Community Arts has been active for a long time with our art centers all across Los Angeles.
708259	713726	Community engagement has been, I would say, augmented by our community engagement outreach team.
714226	715548	We have three art instructors.
715928	726942	They are amazing, talented, creative, multidisciplinary artists who go out into the community and are providing true, meaningful arts activities with the community.
730634	735701	What inspired me to become a teaching artist for DCA was number one, their mission.
735721	739527	I loved DCA's mission as far as giving back to my community.
739547	750082	I love the idea of spreading out, going throughout LA and going to all the different communities and giving them opportunities, grants, all sorts of amazing things that we offer.
750143	753908	It really aligned with my morals as an artist.
755035	771233	When I heard about DCA and I saw the opportunity of them having this outreach team that was going straight to the community, it felt like a perfect place for me to give back and to share what art is to me.
772755	777040	But I like to think that me as a person, I can be an example.
777501	781465	You know, I'd rather be an example more than an impact, I suppose.
782322	807520	And what I mean by that is like, while I'm working with the community, while I'm teaching, while I'm talking, sharing ideas, exploring ideas through the medium of art, I like to think that maybe somewhere out there, like while I'm working on the field, I'm able to interact with somebody and that me being an example to them opens up their mind to like other possibilities in their lives and in their communities.
809272	819189	As we know, Los Angeles is huge, and a lot of folks do not have that access, and so we really want to make sure that we're bringing that arts access as far-reaching as possible to as many people as possible.
819690	833254	Regardless of age, background, we're really trying to have people participate in activities that they might not be used to, that might be interesting and engaging for them, getting people to think about the arts in different ways, and just bringing it to as many people as we can.
836575	838699	The library is so much more than a building.
839099	840001	It's a community hub.
840482	849236	So when the Venice Branch Library is celebrating 30 years, they feature the 30 community members who've helped the Venice Branch become the unique place it is today.
854305	862819	We are here at the Venice Branch Library and we are celebrating the 30th anniversary of this beautiful branch library, this beautiful building.
864503	867086	This library is such a hub to the community.
867146	873614	We wanted to honor a lot of people in the Venice community who've kind of made this place what it is.
874375	878800	We selected 30 of the most influential people for the Venice 30th.
879080	881163	And we've had several people from this poster.
881443	883886	They are here today to help us celebrate.
884506	886429	And it's been a wonderful day of celebration.
886509	890493	We have Bea Coleman unveiling of her artwork, which is in the children's section.
890514	891815	We're doing swing dancing.
891855	894358	We're doing a zine program today.
895064	898532	It brings in an incredibly diverse population.
898572	904044	You know, people who really need the services and then people who like a little extra.
904245	913967	The extra is also where the Friends of the Venice Library come in because we fund, I'd say about 98% of the programs that happen at the library.
917120	923352	This is much more than just a place to go to get your book or to be on the computer for a bit.
923953	931888	This is a real community place and it is an honor to serve it and honor the people who serve the community.
936847	962652	I think what we're really celebrating are the people, the people in this community who have benefited from this library all of these years, the incredible city staff who work for the library department and the LA Public Library who provide outstanding service at this library, and all of the lives that are changed, whether it's a young person who develops a lifelong love of reading by coming to story times and craft programs here at this library, whether it's a senior that comes to a book club here.
962632	968005	or someone who comes to explore our collections and just make use of this incredible space.
968386	980235	To our wonderful friends of the library who are signing new members up today and who are providing extra treats for a reception and it's just a very celebratory day and it's a reminder of how important libraries are.
985582	992259	From the neighborhood block where it began to a city rooftop, the Leimert Park Jazz Festival is now in its sixth year.
992880	998815	While rooted in the black cultural hub of Leimert Park, the festival encompasses the best jazz in the country.
1006372	1009375	We are at Lamarque Park Jazz Festival.
1009395	1011957	It's their sixth annual jazz festival.
1012358	1013879	It started in a neighborhood.
1014400	1015921	And look what it's grown to.
1016301	1020765	We're right here at Baldwin Crenshaw Plaza, upstairs on the parking lot.
1020786	1029574	It's been transformed into a festival with folks that are selling hats and rings, earrings, clothes.
1030054	1033117	And we also have all these food vendors.
1033137	1034378	It is really wonderful.
1034899	1036260	Top notch.
1036240	1045221	Musicians are playing and even we have our local drums that are all women that come from Lamarque Park Village.
1058532	1069407	of music, joy, beautiful handcrafted goods, artwork, lots of booths from your city departments, and a sense of community.
1069788	1079882	We are rooted here in Leimert Park, but people are coming from all over the city because the jazz is hot.
1089616	1097789	One of the nice things about this event is this isn't the idea of the city or the mayor or the Department of Cultural Affairs or the council members.
1098189	1099952	This is the idea of the community.
1100453	1101254	They did the work.
1101274	1102295	They came to us for help.
1102776	1103297	We helped.
1103858	1105080	And here you see what we have.
1107343	1109026	Well, every year it gets bigger and bigger.
1109086	1117699	But what it does is it anchors our community as one of the jazz centers, not just in Southern California and California, but in the country.
1122303	1129449	This is the black cultural hub of Los Angeles, the Merc Park, and that's what they'll walk away knowing for sure.
1129710	1131958	That black asphalt lives here.
1139144	1144557	Shutting down Los Angeles and Main Street in the heart of downtown isn't normally a cause for celebration.
1145079	1152597	But when it comes to a classic car show, El Pueblo got some traffic stopping models and celebrated the pride of lowrider culture.
1159192	1165562	We're happy to have the third annual El Pueblo de Los Angeles car show here at El Pueblo Historical Monument.
1165822	1173614	We're really lucky to have this for the third year where we shut down Los Angeles and mainstream here in the heart of downtown LA to have show cars on display.
1179483	1182067	For us, it's more like a religion.
1182087	1187055	You know, we like to bring the Chicano style back to Los Angeles and especially Olvera Street.
1188588	1190852	It is an art and it's very difficult.
1190932	1197724	It takes thousands and thousands of dollars to keep these cars to look original and classic and original look.
1202472	1212790	The motivation more it's just for the young generation you know they love coming out here seeing the cars and one day they're going to want to build the car themselves or we just hand our cars down to our kids.
1214660	1215221	They love it.
1215721	1239165	I loved it growing up as a kid too, watching my dad driving his lowrider.
1239905	1246934	El Pueblo is really special because we always pride ourselves on having our museums free and also most of our programming free as well.
1247014	1255344	So having the third annual car show just shows support to the community and to draw more visitors in to celebrate the history of Los Angeles and low-riding culture.
1255384	1267279	An LA car show wouldn't be complete without going low and slow with the low riders.
1268255	1273867	LA City's Department of Aging is on the ball with a new program in conjunction with the Los Angeles Sparks.
1274429	1278919	The women's basketball team and the department got together to take a senior to the game.
1279259	1279781	And the result?
1280201	1281825	Well, it's a win-win.
1286497	1290142	Taking seniors to a game is our first initiative.
1290162	1291984	We're working with the Department of Aging.
1292304	1301095	The game is just the first step, but we will be out visiting the seniors at their facility and just giving them an opportunity just to have some fun and to be on the move.
1303819	1310648	When the seniors found out about it, they were super excited to have a night out and enjoy this WNBA game.
1310668	1311829	So we're really excited.
1313159	1316585	for the Department of Agents to put on an event like this, it really means a lot to us.
1316625	1323919	They always take us on different events, and now we're here at the Crypto.com to see this work, and they're gonna give us a win.
1330090	1331353	I'm very, very excited.
1331533	1337023	I can't wait for the game to start, to be jumping up and down for the spotters.
1339855	1341720	Obviously, these are the benefactors, right?
1341981	1345691	Our older adults, they need to know that we're a very active community.
1346353	1350866	We get involved in all sorts of community events, and they love to have a lot of fun.
1351127	1353814	It's not just sitting around playing games and stuff all day.
1353894	1355198	We like to get out and move.
1359042	1366377	This keeps us active, so we don't want to be sitting at home, you know, maybe watching TV or whatever.
1366758	1373432	Them providing outside activities for us is great for us because, you know, we don't want to just be sitting around.
1373452	1378823	These are our golden years and we would like to keep them golden, exactly, and very active.
1380102	1382025	We are fighting for a playoff spot.
1382305	1384489	So I hope they are ready to cheer loud.
1384549	1387934	I hope they're ready to catch some t-shirts, but we're gonna spotlight them.
1388054	1391219	So the Department of Aging is our community spotlight for tonight.
1391540	1396026	We will put the camera on them in their seats, you know, just catch them having fun.
1398751	1403939	It just shows how the Los Angeles Squires and the Department of Aging, how we're bringing the community together.
1404279	1407544	No matter the age, you know, everybody can have fun.
1412671	1414135	in this week's Things to Do.
1414757	1424327	Get to Central Avenue for the Jazz Festival, head to San Pedro for its Festival of the Arts, and pull some strings for Puppets in the Park at Hollyhock House.
1424949	1427035	All this up next on Things to Do.
1433528	1438096	Thousands of toes will be tapping throughout the day on Saturday, September 20th.
1438437	1445809	Celebrating its 30th year with four pavilions and three stages of live music, it's the Central Avenue Jazz Festival.
1446310	1454845	The festival is presented by council member Curren Price and pays tribute to jazz greats while also shining a spotlight on emerging artists.
1454825	1464560	Enjoy hot, cool, and swinging jazz sounds with over a dozen performances taking place along Central Avenue from MLK Boulevard to Vernon Avenue.
1465221	1476057	Central Avenue Jazz Festival is on Saturday, September 20th from 11 a.m. to 7 p.m. For more details, visit centralavjazzfest.com.
1478332	1485602	On September 20th, Los Angeles choreographers and dancers present the San Pedro Festival of the Arts in the heart of the harbor.
1486203	1491791	Enjoy performances from 19 vibrant dance companies to mark the 19th year of the festival.
1492312	1496298	There'll also be interactive performances and free family fun.
1496959	1499222	Bring a picnic and get set to join in.
1499282	1506432	Try a Bollywood step or a flamenco turn or simply enjoy the mix of dance performances by local companies.
1506412	1517620	Head to the Upper Green at Peck Park for the San Pedro Festival of the Arts on Saturday, September 20th, beginning at 1 p.m. For more details, visit tryartsp.com.
1520165	1524509	Bring a blanket, sing along, and make art at Puppets in the Park.
1525069	1530674	Puppets in the Park is presented by the Department of Cultural Affairs and the Bob Barker Marionette Theater.
1530735	1535559	On Sunday, September 21st, enjoy two performances of Fiesta.
1535739	1540804	There will also be art activities led by Barnsdahl Junior Art Center instructors.
1541404	1545808	Gates open at 9 a.m. Each performance will be followed by art activities.
1546329	1550172	It's all happening on the West Lawn outside Hollyhock House.
1550152	1562932	Head to Barnes Doll Park for Puppets in the Park on Sunday, September 21st with performances at 9.30 a.m. and 11 a.m. For more information, visit hollyhockhouse.org.
1565175	1567519	And that's a look at some things to do.
1572646	1573848	And that's all for this week.
1574349	1578535	I'm Susan Huckle, and from all of us here at LA This Week, thank you so much for joining us.
1579196	1584243	Remember that you can watch us online anytime at lacityview.org.
1584724	1588109	We're also on Instagram, Facebook, X, and YouTube.
1588129	1595059	See you next time for more LA This Week.
1607493	1627999	Planning for emergencies is smart, but does the family emergency plan include pets?
1881070	1892143	you
1927645	1945823	you you
1971622	1992904	you you
2000140	2029287	You You
2038750	2062142	You.
2069615	2093968	You.
2105474	2118387	You.
2118586	2136460	you you
2280856	2287440	you
2325220	2336749	you
2377465	2387796	you
2428259	2447736	You.
2452863	2461590	you
2516836	2518139	you
2553775	2556478	you
2582800	2585043	scheduled meeting of your Los Angeles City Council.
2585083	2590511	Today is Friday, the 12th day of September in the year 2025.
2591372	2596099	Public comment for this morning's meeting will be taken in person in this chamber.
2596840	2601366	Madam Clerk, let's start our proceedings by calling the roll.
2601565	2602126	Yes, sir.
2602606	2615184	Bloomingville, Harris, Dawson, Hernandez, Hutt, Gerardo, Lee, McOsker, Nazarian, Padilla, Park, Price, Raman, Rodriguez, Sotomartinez, Jarosławski, 11 members present on the court, Mr. President.
2616326	2616646	All right.
2616986	2617727	First order of business.
2618549	2620992	Approval the minutes of September 10, 2025.
2622414	2623576	Councilmember McOsker moves.
2623596	2625198	Councilmember Hernandez seconds.
2625218	2625719	What's next?
2626660	2628923	Commendatory resolutions for approval.
2629561	2632124	Councilmember Padilla moves, Councilmember Blumenfield seconds.
2632765	2634046	Can we run through our agenda?
2634547	2634987	Yes, sir.
2635448	2638671	Items one through five are items which public hearings have been held.
2639152	2648302	For item number four, the Planning and Land Use Management Committee Report has been submitted and is available online under Council File 25-0532.
2648582	2650124	All right.
2652006	2655110	Those items are now before us.
2655130	2657172	Do members have any items they'd like to call special?
2659683	2671878	specials Specials on my left specials on my right mr.. Price those specials all right What items are available first of all on council?
2672719	2688998	Those would be items one through five sir all right, let's open the roll on those items Close the roll tabulate the vote 12 eyes Mr.. President there's a request to send item for forthwith sir all right without objection that'll be the order
2689197	2689738	What's next?
2690478	2694142	The council may now move on to presentation, sir.
2694162	2694483	All right.
2694523	2696485	We have an exciting morning of presentations.
2697266	2705375	And we will begin in the San Fernando Valley with Council District 3, Council President Pro Tem Bob Blumenfield.
2712943	2716487	Nine.
2720872	2733818	Thank you for letting us use Lanark Park.
2734237	2736841	Stand over this.
2737101	2739305	Such a great part.
2739365	2746536	And then I have the team ones right here.
2746556	2751283	She kicked us off the field.
2751664	2753226	She told us to leave.
2753306	2760638	The manager there said, do you have a permit?
2760698	2761459	We said no.
2765135	2769221	Let's get started.
2771264	2771665	All right.
2773688	2781039	All right, this morning, folks, I have a great opportunity to honor the Lanark Dragons walking soccer team.
2782120	2794078	Now, a lot of times we come to this podium with high school champions, sometimes professional athletes, but what we're often missing is our senior athletes.
2794328	2800176	And before I go any further, when I talk about walking soccer, I want you to understand what I'm talking about.
2800657	2808749	So before I continue, I'd like ITA to roll a clip.
2808769	2816299	So we are in Kenoga Park at Lanark Recreation Center, and we have our Walking Soccer World Cup today.
2819444	2819644	Play ball.
2821463	2826448	So the intention behind creating the World Cup, they play every single Wednesday and Friday here.
2826549	2827870	So they train twice a week.
2828090	2835999	Each year we do a culminating event where they get together with their countrymen and play against one another in a tournament and they end up with awards.
2836039	2846070	So it's a really fun thing that helps the program grow because they have something to look forward to at the end of each year.
2846911	2848133	So we have six teams here.
2848534	2855848	We have United States, we have Israel, we have Peru, South America, England, and Ukraine.
2856268	2860937	All the players were born or have citizenship of the country that they have.
2863853	2864875	And it's like being a kid.
2865135	2866838	It's like being 70 years old.
2867239	2869382	We're 70 and up.
2869582	2873449	I have two players that one is 86 and the other one is 84.
2873889	2878136	And on the other place we have one that is 94 years old and he's still playing.
2878777	2880340	So that is encouraging, isn't it?
2880620	2881402	That is amazing.
2881482	2882003	I love that.
2882684	2886710	I'm 71 years old and every time I see them it's like, you know, my heroes.
2886770	2887752	They're amazing.
2891377	2893060	Mostly the people say my DNA.
2893701	2896767	And they're looking for activity to do something.
2896787	2901597	Now, they can't play regular soccer because of the physical limitations.
2902298	2904863	So this is the place that we offer them.
2905872	2908016	This is medicine for you guys.
2908537	2921701	You know, think about, instead of going to your doctor, or sitting and complaining, or eating manches at the TV, you can come out, enjoy the sun, social, and walking soccer, and you have the competitive, the energy game, that Dermaline is running.
2921721	2923645	So all this, it's really medicine.
2927084	2930169	The sense of community they have, it's really quite wonderful.
2930290	2938644	I think so many older people are having trouble finding things to do in community and this is a really active way for them to do things.
2938704	2942511	I think a lot of senior activities that are offered tend to assume
2942491	2956793	that the senior community is sedentary already, but there's quite a few people that want to move, they want to play, they want to continue to be active and it helps their psychology, it helps their physiology.
2957033	2959497	We're really excited about the program and what it's done for the players.
2964925	2965326	Alright.
2969103	2980421	So walking soccer was a concept that Dr. Ben Drillings, who witnessed this sport being played outside of the city of Los Angeles, he decided, I want to bring this to Los Angeles.
2980762	2987733	And not just to Los Angeles, but to the West Valley, not just to the West Valley, but specifically to Lanark Park in Canoga Park.
2988915	2996747	Dr. Drillings, who was a lifelong soccer player, was unable to continue to participate in traditional soccer due to some injuries.
2997301	3003278	But he craved that spark that he once had, which he loved so much when he was playing the sport.
3004000	3008593	So approximately three years ago, Dr. Drilling's figured out a solution.
3009080	3016573	He established a league for individuals age 60 and above with teams organized by nationality or ethnic background.
3017374	3019839	And the sport has just gone gangbusters.
3019919	3027772	It's gained popularity among seniors who maintain active lifestyles but either can't or don't want to continue to compete in the way that they used to.
3028774	3033282	One great thing about this league is, as I understand it, injuries are very rare.
3033515	3042371	This year, the Lanark walking soccer team represented Team USA in the Walking Soccer World Cup in Mallorca, Spain.
3043653	3046278	And as I said, we bring up champions here.
3046679	3054433	Well, these guys represented LA in Spain for the United States, and they achieved a remarkable fourth place finish.
3054453	3056637	So let's hear it for the Lanark Dragons.
3062590	3073664	So next I'd like to introduce Lanark Park director, Jeremy Aldridge, who was here a few months ago, has been here a number of times, but often it's with the young champions that he's coming here.
3073704	3079310	So today he's here with some older champions, but he does such a bang-up job in Lanark Park.
3079370	3081153	I can't tell you how he's turned that place around.
3081874	3085158	I'm so proud, Jeremy, of the work that you've done there and continue to do there.
3085218	3087180	So without further ado, Jeremy Aldridge.
3090097	3105945	Thank you so much Bob, we really appreciate your support and it's only really through your support and the city council's support that our Department of Recreation and Parks continues to help make Los Angeles the great city that it is.
3105925	3118240	About three years ago, Ben literally came in off the street and sat down with his energy and with his commitment and passion and convinced me that we could do this program together.
3118700	3122024	So it was a great day meeting him.
3122925	3131055	I'm so proud of this program and of this group of seniors for what they've done and what we're accomplishing at the park.
3131035	3137143	So along with Bob, I'd really like to thank Ben for bringing the idea.
3137163	3143170	I really said yes, and then we've had a very good partnership since then.
3143230	3146454	So I'm just gonna step aside and let Ben talk about the program.
3146755	3148117	Thank you so much for having us.
3148437	3150940	We always come here with gratitude for your support.
3151040	3151361	Thank you.
3152142	3154865	Thank you.
3154885	3157228	Good morning, city council members.
3157850	3159433	My name is Dr. Ben Drillings.
3159733	3163159	I'm a chiropractor and a former professional soccer player.
3163960	3172255	After a career-ending injury, I spent decades searching for a way to get back to the field in a safe, sustainable way.
3173657	3182372	Three years ago, I created the walking soccer, a simple, low-impact version of the game I love for players ages 60 to 85.
3182757	3187614	There is no running, no tackling, and no high contact.
3187634	3193375	We have removed barriers so all the adults and those returning to activity can play safely.
3194165	3201037	What began in just four people has grown to over 100 participants across three locations.
3201778	3209090	We have organized community-based World Cup events that celebrate the diversity of our neighborhoods.
3209791	3213658	And we are preparing for another one this November.
3214651	3218987	Walking soccer promotes exercise balance and overall physical health.
3219007	3226213	It also brings meaningful social connection among the players, supporting mental well-being.
3226632	3234343	With both the World Cup and the Olympics coming to Los Angeles, this is the perfect moment for our city to lead.
3234383	3248221	I'm asking the Council to adopt a city-wide walking soccer initiative, designate fields, promote programs in our parks, and help publicize city-sponsored walking soccer leagues.
3249083	3250825	The infrastructure is already here.
3251326	3253028	We just need your support.
3254813	3261522	I'm ready to coordinate training, organize volunteers, and help launch these programs before the World Cup.
3262062	3267069	Let Los Angeles be the first major city to embrace walking soccer.
3268431	3281447	Now, it's very important, before I close, I want sincerely to thank Jeremy, who runs the Lanark Recreation Park in Kanoga Park, for believing in this project from the beginning.
3281848	3282829	Thank you, Jeremy.
3284615	3288419	And now I want to bring Dov and Rachel here.
3288739	3289480	Come on second.
3290561	3292323	Can you please hold it for them?
3292343	3304857	Dov and his wife, Rachel, who keeps things moving on the ground, we could not have done it without your help.
3305658	3307340	We could not have done it without your help.
3309863	3310063	Thank you.
3310083	3313086	And thank you for all the players.
3313252	3315579	that took time and came here today.
3316401	3317524	And thank you for everyone.
3321616	3322097	All right.
3324760	3329747	And Dr. Drilling, before you go too far, I've got a certificate for you.
3329787	3332931	And when we get to the back, I've got a certificate for all the players that are here.
3333332	3336436	But I'll present this to you publicly here.
3336496	3341383	This is on behalf, not just me as the council member, but the entire council and the city of Los Angeles.
3341743	3346029	We congratulate you and recognize Walking Soccer and Lanark Park team.
3346049	3346890	So congratulations.
3346950	3347811	Thank you so much.
3348072	3348412	Thank you.
3349133	3352998	And thank you for the Orla City Council to give us a chance to present it to you.
3353039	3354160	Thank you again.
3354308	3357711	All right, we have Mr. Soto-Martinez on the cue.
3358912	3359713	Thank you so much, Mr.
3359753	3360034	Chair.
3360995	3365279	Council Member Blumenfield, thank you so much for giving me joy, so much joy this morning.
3365959	3367861	And I'm sure other people here in City Council.
3368702	3370444	You know, I love playing soccer.
3370464	3372306	I play soccer almost every weekend.
3373226	3374808	And I'm 42 now.
3375669	3377130	And I'm playing with 20-year-old kids.
3377971	3379893	And I'm like, I don't know how long I could do this.
3380333	3381875	Because it's very physical.
3381995	3383016	It's true.
3383283	3386428	So I had no idea this program existed in the city of LA.
3386849	3391957	And it is making me think about my retirement and where I'm going to be spending my time.
3392498	3396104	And so Jeremy, thank you so much for leading on this.
3396225	3397447	Ben, thank you for your vision.
3397567	3398308	And it is very true.
3398328	3400752	All the things you said right now are absolutely true.
3400732	3404838	As folks get older, you can't go shoulder to shoulder.
3404878	3407703	You can't fight for that ball anymore, because it could be very serious injury.
3407743	3412650	So the fact that you're having so much joy in something that you love, I think it's a wonderful example.
3412811	3414573	It's great leadership for the City of LA.
3415274	3417578	And Ben, you have my support.
3417758	3419381	I do want to see this citywide.
3419441	3420703	I think it's a great idea.
3420743	3425851	But again, thank you for bringing this in and demonstrating an alternative way of doing things.
3426071	3428595	And so thank you so much, Council Member Blumenfield.
3429571	3430512	Thank you very much.
3431855	3439847	I just want to invite the city councils to have a team or watch us on Lanark Park on Friday, 9 o'clock.
3441109	3441349	All right.
3442912	3444574	We'd have to move the whole council meeting there.
3444594	3446117	But you know, field trip is always a good idea.
3446537	3447078	Thank you very much.
3447098	3448060	You guys are an inspiration.
3448100	3448460	Thank you.
3448520	3450684	Thank you so much.
3451204	3452687	Another big round of applause.
3453288	3454550	Mr. Nazarian, I'm sorry.
3454570	3456152	You're on the queue.
3457448	3459390	Hold on, you don't want to miss this, guys.
3459831	3463395	You don't want to miss this.
3463415	3466518	All I just wanted to say is thank you very much, Councilmember Blumenfield.
3466979	3476849	I'm echoing the sentiments of my colleague, but the funny thing is I'm 52, so there's hope, and I'm looking forward to joining all of you.
3477350	3480493	And I just wanted to say for the record, football is God.
3481074	3483116	So thank you for what you're doing.
3485799	3486460	All right.
3487064	3488206	Thank you all so much.
3488807	3508465	We'll get some photos and then we'll prepare to hear from Councilmember Price of the new 9th District.
3551611	3552232	Mr. Price.
3552252	3553893	Thank you, Mr. President.
3554293	3565243	Colleagues, we have a lot to celebrate today, and I'm just so honored that we're celebrating the contributions of a real shero in our community, Veronica Lewis.
3566324	3579576	She has been with Hoppix for the past 21 years, providing exemplary services to our community and to the city of Los Angeles, helping to eradicate homelessness.
3580366	3589561	HOPX, as you know, stands for Homeless Outreach Program Integrated Care Services, and that exactly is what has occurred.
