start	end	text
1077212	1090007	From my perspective, there is no higher calling to a prosecutor than protecting the vulnerable, than being sure that justice prevails.
1089987	1100241	And when you're talking about little kids, they don't have their own voice without help from their families and without help from prosecutors like me.
1100261	1115522	And so from day one in the office, really sending out a message that abuse of children and specifically sexual abuse of children will not be tolerated, not in the city of L.A. and not by the city attorney.
1121645	1126234	A face-to-face community space that exposes arts and music to all.
1126876	1135553	At the William Grand Still Arts Center, people can be themselves and become part of a greater collective, reflecting the community and supporting local artists.
1167005	1191139	The mission behind the William Grestel Arts Center is one that is based in art and music exposure to the community, very intergenerational in our programming that includes yearly exhibitions, there's concerts, film screening, workshops, after school classes, all into sharing about art and music in the community.
1192385	1200577	You learn from everyone, whether that be the Black Doll Show, the African American Composer Series, working with youth as well.
1200597	1209550	So we're constantly learning from each other and I think that's something really beautiful about the center and what space it creates for the community.
1214120	1234356	One of the great things about our community art center is that we allow the community to be themselves as they are, using the language and vernacular that's local, using the codes and cues that are local, but also tapping into a greater discourse that's national and international.
1234336	1248177	The programming that is offered and the way that it is offered, it can foster relationships, but also just having a face-to-face space to come to, to convene, to find solace.
1249299	1250961	Yeah, it's important.
1252679	1258405	I really admire this center and have much love for the center for the space it creates.
1258926	1266334	Having a physical space that offers things that are tangible, you're able to connect with others.
1268396	1279868	So one of the things that's really important about a community arts facility, it is actually owned by the people of Los Angeles, meaning that the people of Los Angeles know and get exactly what they want.
1280118	1281581	It's an added resource.
1282062	1285029	It's exhibitions that feature local artists.
1285049	1286633	So we want to continue this.
1286773	1287956	We want to foster this.
1288156	1296675	LA has been the place that a lot of artists have come out of and it will continue to be as long as we support community facilities like these.
1304536	1309324	In this week's Things to Do, Los Angeles Libros Festival celebrates much more than books.
1309825	1317177	Go arm-in-arm to the Festival of Philippine Arts and Culture and join the City of LA for El Grito 2025.
1317638	1319862	All this up next on Things to Do.
1326473	1333921	The Los Angeles Public Library invites you to read, dream, and celebrate with them for the Los Angeles Libros Festival.
1334602	1340248	Now in its seventh year, the Libros Festival is a free bilingual book festival for the whole family.
1340929	1349798	The celebration creates an inclusive cultural space to engage and inspire current and future generations of bilingual Angelenos.
1349778	1361034	With 16 authors appearing during the day, there'll be entertainment and fun with Spanish language and bilingual storytelling, musical performances, workshops, readings, and community.
1361534	1375093	Head to Downtown's Central Library for the Los Angeles Libros Festival on Saturday, September 13th, from 10 a.m. to 4 p.m. For more information, visit lapl.org slash Libros.
1377402	1383950	Join LA City's Department of Cultural Affairs and Phil M. Arts for the Festival of Philippine Arts and Culture.
1383990	1391398	This year's theme is Arm in Arm, reflecting unity, resilience, and the vibrant spirit of the Filipino-American community.
1391979	1400068	On Saturday, September 13th, come to Point Furman Park for the music, stay for the food, and enjoy the company of fellow festival goers.
1400048	1409582	There'll be music and dance performances that bridge tradition and innovation on two stages, along with vendors, a first ever dog fashion show, and more.
1410163	1423963	The 31st year of the Festival of Philippine Arts and Culture is on Saturday, September 13th, beginning at 10 a.m. and continuing until 6 p.m. For more information, visit philamarts-fpac.org.
1426087	1434455	Join the city of Los Angeles to celebrate El Grito, also known as the Cry of Dolores, taking place on Saturday, September 13th.
1435036	1446567	This year, it's the turn of council member Eunice Hernandez to host El Grito 2025, which will include a bell ringing on the steps of City Hall, followed by music performances into the night.
1447087	1455435	Enjoy a community market of crafts and food vendors at Gloria Molina Grand Park, along with live entertainment from community favorites.
1455415	1473210	El Grito 2025 takes place on Saturday, September 13th, beginning at 5 p.m. with performances until 10 p.m. For more information, check out the social media of council member Eunice Hernandez at CD1 Los Angeles on Facebook and Instagram.
1475434	1477879	And that's a look at some things to do.
1483208	1484611	And that's all for this week.
1484631	1489801	I'm Natalia Bilbao, and from all of us here at LA This Week, thank you so much for joining us.
1490363	1498780	Remember that you can watch us online anytime at lacw.org, and we're also on Instagram, Facebook, X, and YouTube.
1499341	1501926	See you next time for more LA This Week.
1530222	1535440	Planning for emergencies is smart, but does the family emergency plan include pets?
1715813	1716425	you
1764413	1775638	you
1826952	1842193	you
1994065	2006353	you
2022297	2049537	you you
2052470	2072098	you you
2091113	2097869	Good morning and welcome to the regularly scheduled meeting of your Los Angeles City Council.
2097909	2102700	Today is Wednesday, the 10th day of September, the year 2025.
2103863	2108413	Public comment for this morning's meeting will be taken in person in this chamber.
2109237	2109497	Mr.
2109517	2111539	Clerk, if we can begin our proceedings by calling the roll.
2112040	2112840	Yes, Mr. President.
2112920	2121348	Bloomingfield, Harris-Thausen, Hernandez, Hutt, Jurado, Lee, McOsker, Nazarian, Padilla, Park, Price, Rahmet, Rodriguez, Sotomartinez, Yaroslavsky.
2121368	2123029	Ten members present in the court, Mr. President.
2123930	2124851	All right, first order of business.
2125251	2125692	Approved.
2125712	2128054	The minutes of September 9th, 2025.
2128334	2129595	Councilmember McOsker moves.
2129615	2131037	Councilmember Rodriguez seconds.
2132278	2133779	Commentary resolutions for approval.
2134240	2135541	Councilmember Bloomingfield moves.
2135561	2136822	Councilmember Jurado seconds.
2137182	2139244	Can we run through our agenda?
2139427	2140249	Yes, Mr. President.
2140390	2145784	A community impact statement for item 30 has been submitted by the Lake Balboa Neighborhood Council against the matter.
2146346	2154448	The Planning and Land Use Management Committee report for item 35 has been submitted and is available online in council file number 25-0811.
2154428	2162398	The trade, travel and tourism committee report for item 36 has been submitted and is available online in council file number 25-0781.
2163399	2165822	Items 1 through 8 are items noticed for public hearing.
2166262	2169326	Items 9 through 38 are items for which public hearings have been held.
2169786	2173631	Items 39 and 40 are items for which public hearings have not been held.
2174252	2178236	Item 41 on the continuation agenda is an item for which public hearing has been held.
2178517	2180419	Ten votes are required for consideration.
2180399	2183811	All right, without objection, those items are before us.
2183831	2187625	We have a number of members on the queue for specials, beginning with Councilmember Rodriguez.
2190187	2193672	Yes, I have the amendment for item 26 that's being circulated.
2193812	2194092	All right.
2195194	2196535	Councilmember Soto-Martinez.
2196956	2198318	Thank you so much, Mr. President.
2198578	2202904	I'd like to call item number 22, 23, 24, and 39 no.
2204746	2206809	Sorry, for a separate vote, excuse me.
2207490	2209953	And also, I have an amendment for item number 19.
2210033	2210914	I hope it's friendly.
2211175	2212917	I'll second it.
2212937	2213798	All right, thank you so much.
2214250	2214630	All right.
2214951	2221157	Councilmember, and to confirm, that's items 22, 23, 24, and 39 for a separate vote?
2221177	2221557	Yes, please.
2221878	2223099	And the amendment, sir?
2223920	2225922	Item number 19 for a friendly amendment.
2226062	2226342	Thank you.
2227623	2228504	Councilmember Yaroslavsky.
2230106	2239976	I have a friendly verbal amendment to item 28 and request that this report comes back to Budget and Finance Committee so that CAO can identify funds.
2240076	2240536	All right.
2240556	2241918	Do we need an amendment for that, Mr.
2241938	2242198	Clerk?
2243663	2246306	Yes, Mr. President, this would be an amended motion, sir.
2246626	2248307	Okay, all right, all good.
2248327	2249148	Councilmember Price?
2250269	2251410	Thank you, Mr. President.
2251771	2259818	Out of the bonus of caution, I am recusing myself from Item 15 because my wife's employer has worked with one of the organizations listed in the project.
2260459	2263562	Item 1-5-15 for Mr. Price.
2263642	2264783	Any other on this side of the room?
2265083	2265304	All right.
2266004	2270008	Councilmember... Ramon, sorry.
2270377	2281790	Wanted to call items 18 and 27 for brief comments before we vote on them got it all right Any others on this side all right councilmember Bloomingfield?
2283191	2297127	Yeah on item 17 of a technical amendment will be circulated soon got it councilmember Hernandez President I'd like to call item 16 special for a friendly amendment all right councilmember Hurtado
2298575	2300437	My specials had already been called.
2300457	2300937	Thank you.
2300977	2315892	All right councilmember mccasker Wow I'd like to continue item eight for one week from today and on item 36 like to call that item special we have a Technical amendment.
2315933	2318055	Thank you councilmember park for seconding the amendment.
2318555	2325302	We have speakers and I'll have comments And for the record for item eight that would be Wednesday September 17 2025.
2325943	2326303	Thank you
2326891	2327852	Councilmember Nazarian.
2328693	2329053	Thank you.
2329133	2330675	Item 41 for comments.
2330695	2330955	All right.
2331816	2332838	Councilmember Raman.
2332858	2339885	Sorry, I forgot when I stood up the first time that I also wanted to request that item 3 be continued for four weeks, please.
2340786	2344570	And for the record, that would be Tuesday, October 14, 2025.
2345411	2345752	Thank you.
2346072	2346292	All right.
2347353	2349195	Councilmember Park to complete the circle.
2349216	2351498	Everybody has a special today.
2352760	2353161	All right.
2353922	2355024	All right, Mr.
2355084	2358449	Clerk, with all the specimens we have, what items are available for us to vote on?
2359350	2364899	Mr. President, there is a request to continue item seven to Tuesday, October 14, 2025.
2365360	2366021	Without objection.
2366241	2369706	There is also a request to hold items four and five on the desk.
2370227	2370448	All right.
2370588	2371870	Without objection.
2373793	2379021	The council may now vote on items nine, 10, 11, 12, 13, 14.
2381566	2399153	20, 21, 25, 29, 30, 31 through 35, and 37 and 38.
2399521	2405046	All right, before we vote, we've been joined by Councilmember Hutt, and I believe she may have a special.
2405807	2406327	No specials?
2406367	2406687	All right.
2407268	2408309	Oh, but you want to be able to vote.
2408369	2411111	All right, so make sure she's on the board for those items.
2412472	2414154	So the aforementioned items are before us.
2414174	2417357	Let's open the roll, close the roll, tabulate the vote.
2418237	2418958	13 ayes.
2420079	2420640	All right, what's next?
2421160	2428026	Mr. President, the council may now vote on items 22, 23, 24.
2429710	2433895	And 39 call special by councilmember Soto Martinez for a separate vote.
2433915	2436598	All right Those items are now before us.
2436638	2449973	Let's open the roll Close the roll tabulate the vote In open eyes to nose All right, what's next the council may not proceed to public comment.
2450214	2452176	All right city attorney, mr.
2452216	2457642	Clerk if you can prepare us for public comment and We should plan to go
2460035	2462840	to 11 o'clock with public comment.
2462880	2465846	We'll try to get as many speakers as we can in that time.
2472879	2474482	And Mr. President, give me just one moment.
2474502	2476486	I'm trying to figure out which ones are open.
2476887	2479191	I should have that in just a second.
2490376	2492641	Thank you, Council President.
2492701	2496048	I'd like to be recorded as a no vote for item 23 and 24.
2496069	2499977	I believe that doesn't change the outcome.
2504928	2507654	And for the record, that would be 10 ayes and 3 noes.
2508997	2509498	Thank you.
2515908	2521877	For people providing public comment, when it's your turn to speak, please state which of the agenda items you'd like to speak to.
2522398	2527726	You will have one minute per item up to three minutes total for the items open for public comment.
2527746	2529049	We will tell you when your time is up.
2529810	2533055	When speaking on the agenda items, you must be on topic.
2533796	2536039	Our goal is to get through as many speakers as we can.
2536801	2544092	If you are not on topic or if we cannot tell whether you are on topic, you will get one brief warning from me or the council president.
2544072	2548119	At that point, you need to get immediately and clearly on topic.
2548139	2554770	If you do not do so, if you again stray off topic, you will forfeit the rest of your speaking time and we will move on to the next speaker.
2555572	2564106	The items open for public comment on the agenda are items number one and two, items four through six,
2564727	2568692	items 36 and items 39 through 40.
2569333	2581770	So again, the items open for public comment on the agenda are items 1 and 2, items 4 through 6, item number 36, and items 39 and 40.
2582591	2588119	Items number 3, 7, and 8 have all been continued and are thus not open for public comment.
2588504	2591708	Members of the public may also speak for up to one minute for general public comment.
2592428	2599316	During general public comment, members of the public may speak to any of the items or anything else within the city's subject matter jurisdiction.
2600097	2604402	A couple more announcements if I could have the interpreters make this first one allowed to the room, please.
2605423	2612571	If you require a Spanish language interpreter, please make sure to pause every few sentences so the interpreters can interpret.
2616044	2631263	Don't worry, we will pause your time while the interpreters are interpreting, so you will get the same amount of time as everyone else.
2631283	2640415	Thank you.
2641238	2643580	And finally, it looks like we have a lot of speakers here today.
2643600	2653450	So in order to help us run an efficient public comment period, I would ask that you please wait until you hear the name that you signed up under called allowed before lining up.
2653871	2660758	So after you hear the name that you signed up under called allowed, you can line up in any order on your left-hand side of the council chambers.
2661218	2663020	Again, that order is at random.
2663040	2664862	That is to say it is randomly generated.
2665282	2667204	So please wait to hear your name called.
2667424	2668005	Thank you.
2670517	2680054	I will begin by calling the following names, Alba Cuevas, C. Flanagan, Kirsten Peterson, James Brown, Eric Johnson, and Dave Portsmouth.
2690648	2701222	And as we're waiting for those folks to come up, if you could also, when you get to the podium, please let us know which items you'd like to speak to and whether or not you'd like to speak to general public comment as well.
2701503	2701763	Thank you.
2702384	2702784	Good morning.
2703045	2704266	Which items would you like to speak to?
2704707	2704847	Hi.
2704867	2705428	Good morning.
2705789	2708072	Item 16, public comment.
2708773	2708873	Okay.
2708893	2713058	So item number 16 is not open for public comment, but you can speak to it during general.
2713319	2714781	So you have one minute for general public comment.
2714801	2717565	Go ahead.
2718386	2719407	Can you pause it, please?
2720585	2723410	Hi, my name is Delva Cuevas Varelas.
2723550	2724211	I'm from ACE.
2724852	2726375	I live in the city of Los Angeles.
2726475	2734829	I want to thank council members Nitya Raman and Eunice Hernandez for their leadership on tenants' rights in Los Angeles.
2735290	2742222	We support the recommendations out of the Housing and Homeless Committee, but we need to go further to improve
2742202	2771955	We also need to discuss how we have a clear path to
2772661	2777088	Activating a habitability plan and a.
2777669	2778050	Thank you.
2784881	2785342	Good morning.
2785362	2786584	Which items would you like to speak to?
2787866	2788367	Good morning.
2788708	2791052	I'd like to speak on item 36.
2791552	2793135	My name is Dave Borsmith.
2793676	2793776	Okay.
2793796	2794417	So you have one minute.
2794437	2794678	Go ahead.
2795078	2795479	Thank you.
2797636	2808493	I respectfully request the City Council to uphold the decision of the Harbour Commission for the proposed 6,200 seat amphitheatre.
2808834	2817568	It is essential to our waterfront in San Pedro becoming the world-class destination we have worked so hard and long for.
2818848	2829664	Los Angeles needs the iconic vision and union of West Harbor and Nederlanders expert booking abilities and venue management to come to life.
2830124	2837135	It is an extraordinary opportunity and one that doesn't come along very often or easily.
2838336	2841701	The amphitheater is the key to this success.
2843003	2847690	Economically, this project will be a major asset to our community.
2848970	2853837	It'll be long-term growth and it'll be prosperity for all concerned.
2855139	2858204	I'm a San Pedro.
2859927	2863292	Okay, so that was your one minute on item 36.
2864614	2864714	Okay.
2864734	2871925	But members of the public, if you'd like to speak to an item or multiple items, please let us know which items and also if you'd like general public comment.
2872325	2876091	So I assume you'd like general public comment, which will give you an additional minute.
2876915	2878297	OK, I'm almost done.
2878377	2882323	I just wanted to say that I'm a San Pedro resident for 43 years.
2883044	2884245	I raised my family there.
2884646	2885527	I love this town.
2886348	2895522	And I thank you for the leadership, the dedication, and the trust in you to advance this important project forward over this final hurdle.
2896142	2896543	Thank you.
2901637	2902157	Thank you.
2902178	2906782	And members of the public, as we wait for the next speaker, just hold on just a second.
2906822	2918293	So if you run out of time or if we're unable to call you today because we run out of time for public comment, please note that you can always provide additional written public comments at lacouncilcomment.com.
2918653	2920895	Again, that's lacouncilcomment.com.
2921196	2924299	You can find that URL at the top of every council agenda.
2924719	2925360	Go ahead.
2925400	2926661	Which items would you like to speak to?
2926681	2927762	36.
2927742	2929205	So I want to counsel.
2929786	2930708	My name is James Brown.
2930808	2943034	I am owner of San Pedro Brewery Company in Port Town Brewery Company both of which are located in downtown San Pedro the amphitheater down at West Harbor would be not only great for the
2943014	2946601	project of West Harbor, it'll really help us in downtown.
2947443	2965157	We've struggled since pre-COVID, we've struggled since COVID and getting that extra 4,000 people in town on a weekend, weeknight, coming to see a show will be greatly beneficial for all the businesses in downtown San Pedro.
2965137	2970907	I opened up San Pedro Brewing Company in 1999, and we're about to celebrate 26 years.
2971508	2976938	We recently designated a City of Los Angeles legacy business.
2977619	2979663	We'd like to continue that for another 26 years.
2979823	2981847	So thank you for your consideration.
2987395	2990299	Before the next speaker begins, I would like to call up more names.
2990500	2996829	Manuel Jimenez, Cassidy Bennett, Justin Curran, Diana Dean, Shannon Ross.
2997851	2998271	Good morning.
2998291	2999513	Which items would you like to speak to?
2999553	3001937	Hello?
3002798	3006323	I'd like to speak to item 36 and public comments.
3006343	3008306	OK, so you have one minute for the item and one minute for general.
3008346	3009027	Go ahead.
3009047	3009488	Thank you.
3013568	3019254	Mr. President, Council Members, I want to thank you for providing the opportunity to speak today.
3019274	3025921	I'm Eric Johnson, the Senior Project Executive for the West Harbor Project.
3026842	3038414	The West Harbor Project is a joint venture development between Jericho Development, our family business, a San Pedro-based company, and the Ratkovich Company of downtown LA.
3039455	3043339	And we are here to
3043741	3052352	encourage you strongly to uphold the action of the Harbor Commission approving our supplemental environmental impact report.
3053433	3072297	It's a key element to this major revitalization of the LA waterfront of which West Harbor is at the center and the catalyst bringing jobs, revitalizing general public comment.
3073087	3073488	Thank you.
3073930	3074833	The topic will be the same?
3075275	3075435	Yes.
3075476	3075997	Perfectly fine.
3076038	3076640	Go ahead.
3076660	3082641	No, I just wanted to say we also thank our landlord, the Port of Los Angeles.
3082823	3085627	We thank their staff, executive team.
3086168	3090514	We spent two years developing this supplemental environmental impact report.
3090534	3098825	We studied very thoroughly all of the impacts, developed thoughtful mitigation measures, which are being implemented.
3099286	3107397	We have a tremendous operational partner in Nederlander Concerts LA, who ran the Greek theater for 40 plus years.
3107377	3111262	We're a very community-driven organization, and we have lots of support here.
3111702	3115687	This is something that the community wants and needs.
3116227	3129062	100 shows a year of world-class music and theater, hundreds of community events and sponsored events, and for most of the time, this is a two-acre public waterfront park.
3129983	3133047	San Pedro downtown needs more park space.
3133347	3133868	Thank you.
